nb_mesure, nb_threads, nb_threads_prod, nb_threads_cons, time
1,2,1,1,0:00.24
2,2,1,1,0:00.22
3,2,1,1,0:00.22
4,2,1,1,0:00.22
5,2,1,1,0:00.21
1,4,2,2,0:00.11
2,4,2,2,0:00.11
3,4,2,2,0:00.11
4,4,2,2,0:00.10
5,4,2,2,0:00.11
1,8,4,4,0:00.07
2,8,4,4,0:00.06
3,8,4,4,0:00.06
4,8,4,4,0:00.06
5,8,4,4,0:00.06
1,16,8,8,0:00.07
2,16,8,8,0:00.07
3,16,8,8,0:00.07
4,16,8,8,0:00.07
5,16,8,8,0:00.06
1,32,16,16,0:00.08
2,32,16,16,0:00.07
3,32,16,16,0:00.07
4,32,16,16,0:00.07
5,32,16,16,0:00.07
1,64,32,32,0:00.08
2,64,32,32,0:00.07
3,64,32,32,0:00.07
4,64,32,32,0:00.07
5,64,32,32,0:00.07
